업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
㈜지엠물류,주사업장,"대전광역시 중구 대종로550번길 5, 1306호(선화동, 유원오피스텔)","대전광역시 중구 선화동 79-14, 유원오피스텔 1306호",36.33257105,127.4216474,대전광역시 대덕구 한남로114번길 1,대전광역시 대덕구 오정동 448-5,56,362,341,21,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김성환,042-226-7770,2021-07-05,6300000,대전광역시
㈜지엠물류,주사업장,"대전광역시 중구 대종로550번길 5, 1306호(선화동, 유원오피스텔)","대전광역시 중구 선화동 79-14, 유원오피스텔 1306호",36.33257105,127.4216474,충남 금산군 진산면 만악리 432-5,충남 금산군 진산면 만악리 432-5,112,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김성환,042-226-7770,2021-07-05,6300000,대전광역시
㈜지엠물류,주사업장,"대전광역시 중구 대종로550번길 5, 1306호(선화동, 유원오피스텔)","대전광역시 중구 선화동 79-14, 유원오피스텔 1306호",36.33257105,127.4216474,충남 논산시 광석면 천동리 373-1,충남 논산시 광석면 천동리 373-1,246,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김성환,042-226-7770,2021-07-05,6300000,대전광역시
누리렌트카㈜,주사업장,"대전광역시 서구 월평로13번길 60, 1층(월평동)",대전광역시 서구 월평동 411,36.35741138,127.3594166,대전광역시 동구 대전천동로 58,대전광역시 동구 대성동 173-3,57,59,52,7,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김효순,042-610-0014,2021-07-05,6300000,대전광역시
누리렌트카㈜,주사업장,"대전광역시 서구 월평로13번길 60, 1층(월평동)",대전광역시 서구 월평동 411,36.35741138,127.3594166,대전광역시 서구 신갈마로141번길 14,대전광역시 서구 갈마동 377-21,31,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김효순,042-610-0014,2021-07-05,6300000,대전광역시
대경렌트카㈜,주사업장,"대전광역시 서구 계백로 1400, 2층(도마동)",대전광역시 서구 도마동 188-7,36.3114928,127.3773295,대전광역시 서구 가수원동 1090,대전광역시 서구 가수원동 1090,78,62,62,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,김성태,042-586-6061,2021-07-05,6300000,대전광역시
㈜대원렌트카,주사업장,"대전광역시 서구 갈마로 146, 2층(괴정동)","대전광역시 서구 괴정동 413-8, 2층",36.34039438,127.3733538,대전광역시 서구 갈마로 146(괴정동),대전광역시 서구 괴정동 413-8,7,5,5,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,조정식,042-476-3322,2021-07-05,6300000,대전광역시
대전렌트카㈜,주사업장,"대전광역시 서구 둔산서로 9, 603호(둔산동, 씨에프프라자)","대전광역시 서구 둔산동 1251, 씨에프프라자 603호",36.34753577,127.3826059,세종특별자치시 부강면 연청로 745-46,세종특별자치시 부강면 갈산리 470-2,73,153,148,5,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임완수,042-484-3110,2021-07-05,6300000,대전광역시
대전렌트카㈜,주사업장,"대전광역시 서구 둔산서로 9, 603호(둔산동, 씨에프프라자)","대전광역시 서구 둔산동 1251, 씨에프프라자 603호",36.34753577,127.3826059,대전광역시 서구 우명동 326-1,대전광역시 서구 우명동 326-1,20,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임완수,042-484-3110,2021-07-05,6300000,대전광역시
대전렌트카㈜,주사업장,"대전광역시 서구 둔산서로 9, 603호(둔산동, 씨에프프라자)","대전광역시 서구 둔산동 1251, 씨에프프라자 603호",36.34753577,127.3826059,충남 금산군 복수면 다복리 168-4,충남 금산군 복수면 다복리 168-4,50,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임완수,042-484-3110,2021-07-05,6300000,대전광역시
대전렌트카㈜,주사업장,"대전광역시 서구 둔산서로 9, 603호(둔산동, 씨에프프라자)","대전광역시 서구 둔산동 1251, 씨에프프라자 603호",36.34753577,127.3826059,충남 금산군 제원면 수당리 765-1,충남 금산군 제원면 수당리 765-1,68,0,0,0,0,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,임완수,042-484-3110,2021-07-05,6300000,대전광역시
㈜둔산렌트카,주사업장,"대전광역시 서구 둔산대로 117번길 39, 4층(만년동)","대전광역시 서구 만년동 345, 4층",36.36677519,127.3819913,대전광역시 대덕구 산업단지로116번길 96,대전광역시 대덕구 신일동 99-2,70,68,64,4,7,0,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,나세정,042-477-8866,2021-07-05,6300000,대전광역시
