address,latitude,longitude,car_type,zoneId,zoneName
강원 강릉시 교동 118,37.765064,128.901077,2,10008,강릉역KTX(제1주차장)
강원 원주시 단구동 1610-5,37.325233,127.956291,2,10111,원주프리미엄 아울렛(별관주차장)
강원 동해시 천곡동 831,37.523972,129.117813,2,10116,이마트 동해점
강원 강릉시 교동 216-40,37.761845,128.897614,2,10214,강릉역KTX(귀빈장 옆)
강원 춘천시 퇴계동 370-23,37.863285,127.729126,2,10376,GS칼텍스 남춘천
강원 춘천시 동내면 거두리 910,37.855701,127.750206,2,10401,GS칼텍스 거두
강원 강릉시 옥천동 305,37.762543,128.90126,2,10454,강릉역KTX(오토카써비스 앞)
강원 강릉시 교동 1814-2,37.770573,128.875671,2,10470,GS칼텍스 교동택지
강원 강릉시 강문동 139-2,37.792969,128.917755,2,10471,행운가득초당주유소
강원 강릉시 지변동 123,37.771454,128.872208,2,10484,강릉원주대 강릉캠퍼스(체육관)C
강원 속초시 교동 734-3,38.19656,128.578323,2,10539,GS칼텍스 새마을금고
강원 동해시 송정동 산24-22,37.497364,129.123413,2,10693,동해역KTX
강원 강릉시 교동 1891-6,37.763371,128.874863,2,10727,강릉 분수공원 앞
강원 강릉시 회산동 195-21,37.739925,128.867691,2,10921,강릉 화이트크로우
강원 강릉시 안현동 107-5,37.803459,128.9021,2,11025,강릉 빅토리아파크(경포대EV)
강원 양양군 양양읍 연창리 203-4,38.076092,128.627365,2,11049,양양군 노인복지관 앞
강원 홍천군 홍천읍 희망리 356-3,37.689476,127.879547,2,11090,홍천 종합버스터미널
강원 춘천시 후평동 89-2,37.881035,127.7537,2,11157,후평동 MS마트 옆
강원 원주시 반곡동 1903-2,37.32782,127.986435,2,11422,메가박스 원주센트럴점
강원 속초시 조양동 1506-1,38.189037,128.586151,2,11426,메가박스 속초점
강원 동해시 천곡동 913 코스모스호텔,37.520065,129.117126,2,11450,동해 코스모스호텔
강원 강릉시 명주동 7,37.751465,128.89357,2,11554,SC제일은행 강릉지점 뒤
강원 강릉시 홍제동 1035-3,37.757126,128.871185,2,11675,강릉소방서 앞
강원 속초시 동명동 452-5,38.208961,128.592056,2,11871,속초 더하우스호스텔
강원 강릉시 옥천동 376,37.758484,128.905914,2,11892,강릉 우정카(강릉여고 옆)
강원 강릉시 홍제동 989-8,37.755188,128.878387,2,11894,강릉터미널 앞(대한렌트카)
강원 강릉시 홍제동 992-2 고속버스터미널,37.75465,128.880676,2,11895,강릉터미널
강원 양양군 양양읍 남문리 3-23,38.075211,128.625168,2,11910,양양전통시장 앞
강원 원주시 만대공원길 8-10 (무실동),37.337063,127.928947,2,11911,원주시청 사거리
강원 원주시 단구동 121-3,37.322525,127.961433,2,11973,원주 단구사거리
강원 원주시 판부면 서곡리 1991-1,37.320869,127.942879,2,11974,남원주중학교 앞
강원 속초시 교동 835-1,38.197933,128.574951,2,11997,속초 우리홈마트
강원 속초시 교동 1024-1,38.194118,128.580597,2,12032,속초 체스터톤스호텔
강원 인제군 인제읍 상동리 80-9,38.067249,128.175583,2,12102,인제터미널
강원 강릉시 주문진읍 교항리 388-7,37.883064,128.8237,2,12146,주문진 버스종합터미널
강원 삼척시 남양동 23-5 NH농협은행 삼척시지부,37.444199,129.166199,2,12167,NH농협은행 삼척시지부
강원 원주시 단구동 1510-1 노빌리티타워,37.331615,127.947571,2,12192,동보노빌리티타워
강원 속초시 조양동 1426-6,38.189575,128.600067,2,12285,속초 고속버스터미널 삼거리
강원 동해시 동회동 101-5,37.489086,129.10701,2,12292,동해 북삼안전센터 옆
강원 강릉시 강문동 263,37.798367,128.911392,2,12347,강릉 호수광장(경포대)
강원 강릉시 옥천동 299-1,37.763062,128.901459,2,12349,강릉역KTX(중기골목)
강원 춘천시 조양동 34,37.878048,127.729179,2,12360,메가마트 춘천점
강원 삼척시 교동 742 C프라자,37.448223,129.176437,2,12383,삼척 교동타워
강원 삼척시 교동 592-2,37.449257,129.164932,2,12384,삼척시청
강원 고성군 간성읍 신안리 146-3 달홀문화센터,38.379196,128.474106,2,12439,고성 달홀문화센터
강원 강릉시 교동 118-21,37.762318,128.897598,2,12471,강릉역KTX 앞
강원 홍천군 홍천읍 갈마곡리 236-26,37.694099,127.899384,2,12576,홍천 킹마트 뒤
강원 춘천시 우두동 269-6,37.905617,127.742226,2,12643,춘천 농업회사법인 밭
강원 원주시 개운동 216-13,37.338055,127.964287,2,12667,입춘어린이공원 옆
강원 강릉시 송정동 1008-7,37.771336,128.922775,2,12723,이마트 강릉점
강원 춘천시 온의동 511 이마트,37.86367,127.718567,2,12724,이마트 춘천점
강원 양양읍 송암리 29-8,38.085075,128.630722,2,12808,양양 종합여객터미널
강원 춘천시 온의동 516,37.862667,127.720184,2,1555,춘천터미널
강원 강릉시 교동 1734-6,37.757156,128.880844,2,2324,강릉터미널 앞
강원 원주시 개운동 118-2,37.341419,127.955574,2,2416,롯데슈퍼 원주점
강원 춘천시 석사동 27,37.866978,127.75869,2,2484,롯데마트 석사점
강원 춘천시 퇴계동 1160-5,37.867081,127.72274,2,2562,롯데하이마트 남춘천점
강원 원주시 단계동 878-1,37.345043,127.932266,2,2578,원주고속버스터미널 앞
강원 강릉시 내곡동 422-10,37.741722,128.881119,2,7293,강릉 하나로마트
강원 강릉시 교1동 949-28,37.755417,128.882233,2,7829,롯데렌탈 강릉영업소(B)
강원 강릉시 포남동 856-1,37.763809,128.902191,2,8057,GS칼텍스 월드컵(강릉)
강원 원주시 단구동 1463-9,37.329735,127.951569,2,8107,GS칼텍스 구곡
강원 춘천시 석사동 878-4,37.85183,127.743828,2,8146,춘천안디옥교회(석사유료주차장)
강원 강릉시 교동 1833-1,37.767605,128.877426,2,8260,강릉원주대 강릉캠퍼스 앞
강원 원주시 흥업면 매지리 1875,37.27779,127.903999,2,8289,연세대 스포츠센터C
강원 원주시 흥업면 흥업리 991-34,37.304314,127.911636,2,8412,한라대학교C
강원 춘천시 후평3동 426-23,37.881779,127.750076,2,8678,춘천 강원소독
강원 속초시 교동 895-1,38.192974,128.572144,2,8679,롯데렌탈 속초영업소
강원 원주시 무실동 1726-6,37.33913,127.925873,2,8745,롯데렌탈 원주지점(B)
강원 춘천시 퇴계동 381-1,37.860527,127.728836,2,8819,롯데슈퍼 G춘천점
강원 강릉시 임당동 105-3,37.75563,128.896484,2,9026,강릉 구한전주차장
강원 원주시 우산동 242-3,37.366516,127.935715,2,9190,상지대사거리(그린기능장카서비스)
강원 원주시 일산동 89-1,37.348309,127.948494,2,9250,원주세브란스병원 앞
강원 춘천시 동면 장학리 1007,37.893127,127.755089,2,9262,한림성심대 앞(장학주차장)
강원 강릉시 포남동 1294-1,37.77198,128.912323,2,9292,강릉 포남유료주차장
강원 강릉시 임당동 141-1,37.753933,128.894196,2,9334,강릉 객사문사거리
강원 강릉시 교동 137-1,37.761692,128.89946,2,9481,강릉역KTX(강릉육거리)
강원 강릉시 지변동 123,37.771244,128.869598,2,9548,강릉원주대 강릉캠퍼스(공대2호관)C
강원 강릉시 지변동 123,37.76902,128.87323,2,9550,강릉원주대 강릉캠퍼스(인문대&사과대)C
강원 강릉시 교동 108,37.763344,128.899384,2,9647,강릉역KTX(제2주차장)
강원 원주시 단계동 852,37.345631,127.932266,2,9799,원주고속버스터미널(타임시티)
강원 춘천시 근화동 552-1,37.883701,127.716812,2,9915,춘천역 1번출구
경기 부천시 소사구 옥길동 715-6,37.468605,126.820572,2,10007,부천 옥길주차타워
경기 남양주시 화도읍 마석우리 339-13,37.653187,127.302238,2,10019,송라초등학교 앞
경기 고양시 일산동구 중산동 1812,37.674702,126.786552,2,10020,풍산역 2번출구
경기 안산시 상록구 사동 1271,37.293018,126.836098,2,10029,한양대학교 행복관C
경기 안산시 상록구 본오동 880,37.296577,126.861122,2,10031,롯데마트 상록점
경기 부천시 소사본동 395-7,37.482521,126.794785,2,10039,소사역 1번출구
경기 평택시 서정동 343-9 중앙동 제1공영주차장,37.055065,127.055283,2,10045,서정리역 앞(중앙동제1공영주차장)
"경기 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교",37.290565,127.050247,2,10075,롯데마트 광교점(아브뉴프랑 광교점)
경기 안성시 공도읍 만정리 815-1,37.000038,127.169571,2,10114,안성 공도1번가
경기 용인시 기흥구 중동 833 쥬네브,37.278519,127.152176,2,10128,이마트 동백점
경기 이천시 부발읍 아미리 505-7 부발역,37.259499,127.489525,2,10136,부발역 1번출구(경강선)
경기 이천시 창전동 470-27,37.277847,127.448631,2,10167,이천종합버스터미널 앞
경기 부천시 심곡본동 561-4,37.483402,126.775917,2,10209,부천 심곡고가사거리
경기 의왕시 오전동 111-1,37.358528,126.966263,2,10237,의왕 모락로사거리
경기 안산시 상록구 성포동 593,37.327549,126.844055,2,10252,성포안산농협 뒤
경기 의정부시 의정부동 494 센트럴타워,37.738033,127.043587,2,10273,의정부역 2번출구
경기 의정부시 민락동 801 해동 lll(쓰리) 타워,37.743458,127.096359,2,10275,민락초등학교 뒤
경기 성남시 중원구 성남동 3499 니즈몰,37.431389,127.129768,2,10278,모란역 4번출구(CGV성남모란)
경기 하남시 망월동 978,37.568409,127.185898,2,10288,미사2동 행복복지센터 뒤
경기 안양시 동안구 관양동 1725-1,37.405704,126.971497,2,10290,인덕원 동편마을사거리
경기 김포시 구래동 6879-6,37.645233,126.623024,2,10303,구래동 행정복지센터 앞(엔케이리움힐)
경기 시흥시 능곡동 741,37.368965,126.810661,2,10304,시흥능곡역 2번출구(태영프라자)
경기 수원시 권선구 금곡동 1118-1 세종타운721,37.273705,126.953377,2,10305,금곡동 행정복지센터 옆(세종타운)
경기 시흥시 능곡동 752,37.368343,126.810371,2,10306,시흥능곡역 2번출구(효창프라자)
경기 안산시 단원구 초지동 740-2,37.304348,126.816231,2,10307,안산 별망초교사거리
경기 평택시 포승읍 도곡리 1118-6,36.989094,126.842705,2,10311,여술근린공원 앞
경기 고양시 덕양구 화정동 1147 글로벌테마프라자,37.627636,126.829788,2,10338,고양경찰서 옆
경기 여주시 홍문동 274-6 여주종합터미널,37.289967,127.635483,2,10339,여주종합터미널
경기 남양주시 평내동 588 GS뉴평내주유소,37.647808,127.235428,2,10341,GS칼텍스 뉴평내
경기 부천시 송내동 371-2,37.485874,126.765839,2,10348,중동역 1번출구
경기 부천시 원미구 중동 788,37.488674,126.770737,2,10352,부천 시민회관삼거리
경기 부천시 원미구 상동 236-21,37.492256,126.764885,2,10353,부천 상지초등학교 앞
경기 부천시 원미구 상동 465,37.488274,126.751724,2,10355,송내역 2번출구(서촌공원)
경기 부천시 원미구 상동 407,37.490841,126.751724,2,10358,송내역 2번출구(로데오)
경기 부천시 송내동 280-11,37.485779,126.753212,2,10359,송내남부역 공영주차장
경기 부천시 심곡본동 557,37.483337,126.78537,2,10361,부천역 1번출구
경기 부천시 원미구 중동 1121,37.494995,126.777191,2,10363,부천소방서 사거리
경기 부천시 원미구 원미동 127-5,37.492168,126.787308,2,10364,원미부흥시장
경기 광주시 역동 176-13 경기광주역사,37.399456,127.251968,2,10374,경기광주역(경강선) 1번출구
경기 부천시 원미구 중동 1151,37.50209,126.76931,2,10375,부천 중동 로데오거리
경기 수원시 권선구 세류동 92-20,37.263283,127.011078,2,10377,GS칼텍스 인성
경기 부천시 원미구 상동 559-5,37.500488,126.75486,2,10378,상동 행정복지센터 옆
경기 부천시 원미구 중동 1159-4,37.502747,126.764313,2,10383,부천시청역 1번출구
경기 부천시 원미구 소사동 32,37.484909,126.796967,2,10384,소사역 7번출구
경기 부천시 소사본동 77-5,37.479252,126.793571,2,10386,소사종합시장 공영주차장
경기 성남시 분당구 정자동 8-1,37.372154,127.106323,2,10392,GS칼텍스 백궁
경기 부천시 소사본동 157,37.476536,126.799202,2,10393,소사초등학교 앞
경기 부천시 소사본동179-1,37.473804,126.794342,2,10397,소사초등학교 옆
경기 수원시 팔달구 인계동 452-42 인계동 주유소,37.267227,127.032967,2,10400,GS칼텍스 인계동
경기 수원시 영통구 매탄동 825-13 매탄동주유소,37.263874,127.050041,2,10410,GS칼텍스 매탄동
경기 용인시 기흥구 중동 838 동백문월드,37.275909,127.151474,2,10420,동백호수공원(쥬네브문월드)
경기 남양주시 다산동 6087-3,37.623108,127.152496,2,10438,다산퍼스트타워
경기 고양시 일산서구 일산동 1060 뉴시티프라자,37.678818,126.76442,2,10442,일산 후곡마을사거리
경기 안양시 만안구 안양동 622-70,37.395237,126.926788,2,10443,안양우체국 사거리
경기 고양시 일산동구 장항동 759-1 삼라 마이다스빌,37.660744,126.767326,2,10465,정발산역 2번출구(삼라마이다스2차)
경기 남양주시 와부읍 덕소리 469-1,37.586506,127.211258,2,10474,덕소역 1번출구 앞
경기 안산시 단원구 선부동 1085,37.341171,126.814705,2,10478,안산 한양스파랜드
경기 의왕시 삼동 191 의왕역,37.320534,126.948906,2,10496,의왕역 2번출구
경기 양주시 덕정동 346-2,37.841232,127.061813,2,10498,덕정삼거리
경기 성남시 수정구 복정동 산42 동서울대학,37.459274,127.127296,2,10499,동서울대학교C
경기 양주시 옥정동 1057-9,37.81649,127.098717,2,10509,양주 제이드웰아파트 앞
경기 남양주시 진접읍 금곡리 1022,37.721043,127.202232,2,10512,진접 종점프라자
경기 이천시 안흥동 408-1,37.275467,127.450775,2,10527,이천 미란다호텔
경기 오산시 원동 300-8 시네아울렛,37.142262,127.073898,2,10577,롯데시네마 오산원동점
경기 광명시 광명동 200-6,37.477028,126.853073,2,10580,광명사거리역 4번출구
경기 고양시 덕양구 성사동 410-7 원당역,37.652599,126.842789,2,10586,원당역 3번출구
경기 시흥시 대야동 494,37.444344,126.785477,2,10594,시흥시 대야파출소 옆
경기 안산시 상록구 본오동 874,37.302055,126.863792,2,10595,상록수역 3번출구
경기 수원시 영통구 이의동 1240,37.296436,127.048302,2,10598,이마트 광교점
경기 안산시 단원구 초지동 742-4,37.302334,126.813553,2,10599,이마트 고잔점
경기 고양시 일산동구 중산동 1836-3,37.677624,126.782204,2,10622,모당초등학교 앞
경기 하남시 망월동 1093-1 미사푸르지오시티 A동,37.565842,127.191216,2,10624,미사 푸르지오시티
경기 김포시 고촌읍 신곡리 532-87,37.600197,126.772446,2,10650,김포 신곡사거리
