Question,Answer
전기차 충전료 정산 기준은 어떻게 되나요?,"충전료 정산은 고객님의 차량대여기간 중 실주행거리에 비례하여 산정해요
충전료 = (도착주행거리 – 출발주행거리) X 충전료 단가
※ 충전료 단가는 정부정책 및 충전사업자 제휴단가 등 제반사정을 고려하여 조정될 수 있어요"
운전면허 분실 시 차량대여가 불가능한가요?,"실 운전자가 운전면허증을 분실한 경우, 차량대여가 불가능해요.
면허 분실 시, 운전면허시험장에서 신속히 재발급 받은 후 대여해 주세요. 
   "
외국인도 대여가 가능한가요?,"외국인도 대여 가능합니다.  
    구분 승차 인원 9명 이하 승차 인원 10명 이상
라이선스 ① 교환된 한국 운전면허증 일반2종 이상

② 국제운전면허증(IDP) Class ""B""

③ 주한미군 자동차운전면허증 ① 교환된 한국 운전면허증 일반1종 이상

② 국제운전면허증(IDP) Class ""D""
운전자연령 만21세 이상 만26세 이상
세부사항 1. IDP : 제네바 또는 비엔나협약 회원국에서
발생한 “B” 유형 스탬프 날인 필요

2. 주한미군 자가용 운전면허증
(승차인원 9 명 이하 차량만 대여가능)

3. 한국운전면허증
- 국내 취득 면허 : 발급 후 1 년 이상
- 국내 교환 면허 : 운전경력 조항 면제
(*별도서류 확인 필수) 1. IDP : 제네바 또는 비엔나협약 회원국에서
발생한 “D”유형 스탬프 날인 필요

2. 한국운전면허증 : 취득 및 교환 모두 발급 후 3년 이상
  ▷ 외국 운전면허증에서 한국 운전면허증으로 교환된 면허는 발급 후 1 년 조항 면제 (9인 이하 차종의 경우) 됩니다.
(*한국 운전면허 경력 면제 시 : 본국 운전면허증(로컬면허증)의 취득 기간이 확인되는 대사관 확인 문서 or 아포스티유 인증서 확인)
▷ 주한미군 자가용 운전면허증 소지자는 최대 9 인승 이하 차량만 대여 가능 합니다.
▷ 국제 운전면허증의 유효기간과 별개로 국제 조약 및 관련 법령에 따라 해당 국가에 마지막 입국한 날로부터 1년만 유효 합니다.
▷ 국제운전면허증/여권/본국 운전면허증 서류 모두 영문 성/이름이 일치하지 않을 경우 무효 처리될 수 있습니다.
▷ 국제운전면허증으로 운전할 경우 운전면허증과 여권을 지참하지 않으면 무면허 운전으로 처벌받을 수 있으므로 운전 중에도 유효 서류 지참은 필수 입니다. 
▷ 한국은 IDP(International Driving Permit) 국제운전면허증만 유효 (IDL 불가) 합니다. 
     "
"운전자 추가 등록(제2,3 운전자)은 어떻게 하나요?","예약 상세 페이지에서 '운전자 추가 등록하기' URL을 보내 운전자 등록을 요청할 수 있어요.
  등록이 필요한 분의 휴대폰 번호를 입력하면, 자동으로 카카오 알림톡이 발송돼요.
  받는 분이 추가 운전자 정보를 입력하면, 예약자분도 예약상세 페이지에서 추가된 정보를 확인할 수 있어요.
  ① 메인 상단 '예약확인' 클릭 ▶ ② 회원로그인(비회원일 경우, '비회원 예약확인' 클릭) ▶ ③예약내역 ▶ ④내 예약 ▶ ⑤예약 상세 內 '운전자 추가' 클릭▶ ⑥운전자 추가를 요청할 휴대폰 번호 입력 후 URL 보내기
  ☞예약상세 페이지 가기 
        "
대여 자격 조건은 어떻게 되나요?,"차량별 대여 자격이 다르니 꼭 확인해주세요.
  <9인승 이하 내연차 및 일반 EV>
 - 만 21세 이상
 - 2종 보통면허 이상, 운전경력 1년 이상
  <수입 내연차 및 프리미엄 EV>
 - 만 26세 이상
 - 2종 보통면허 이상, 운전경력 3년 이상
  <11인승 이상 내연차>
 - 만 26세 이상
 - 1종 보통면허 이상, 운전경력 3년 이상
   "
"장기렌터카 보험조건/결제정보 변경, 단기운전차 추가, 계약이관, 중도해지 신청은 어떻게 하나요?","'스마트케어 앱'에서 신청서 양식을 다운로드 받을 수 있어요.
PC에서 다운로드를 원하시면 아래 '양식 다운로드 바로가기'를 클릭해 주세요. 
  ☞양식 다운로드 바로가기     
   "
장기렌터카 차종이나 견적은 어디서 확인할 수 있나요?,"아래 '장기렌터카 보러가기'를 클릭하면
다양한 장기렌터카 차종 정보는 물론, 관심 차량의 견적까지 간편하게 확인할 수 있어요! 
 ☞장기렌터카 보러가기     
  "
장기렌터카 이용 중 사고가 나면 어떻게 접수하나요?,"SK렌터카는 24시간 사고접수가 가능한 고객센터를 운영 중입니다.
 [사고접수방법]
1599-9111로 전화 후 1번 누르시면 상담사를 통해 사고접수를 할 수 있어요
 "
긴급출동은 어떤 서비스를 제공하나요?,"아래 상황에서는 사고접수 대신 긴급출동으로 접수해 주세요.
- 단기 렌트 : 타이어 펑크, 배터리 방전, 연료 부족
- 장기 렌트 : 타이어 펑크, 배터리 방전, 연료 부족, 자동차키 분실
  ☞긴급출동 접수하기  
  ※ 온라인 접수가 어려운 상황이라면, SK렌터카 고객센터 1599-9111로 전화 후 '2번 →1번 긴급출동'을 눌러 접수할 수 있어요!
 "
자주 찾는 질문 '장기렌터카' 카테고리에 제가 찾는 내용이 없어요.,"SK 장기렌터카를 이용 중이라면,
SK렌터카 차량관리 앱 '스마트케어'로 렌탈료 조회부터 
주요 계약정보 확인, 운전에 필요한 증명서 다운로드까지 한 번에! 
  장기렌터카 차량 정비 방법 및 과태료 납부 방법 등 
차량 이용 중 궁금한 점은 스마트케어 '자주 찾는 질문'에서 확인할 수 있어요.
  ☞장기렌터카 '자주 찾는 질문' 보러가기
   "
