업체명,위도,경도,제공기관명
SK렌터카,38.10161831,127.987925,강원도
SK렌터카,36.34821748,127.3861732,대전광역시
SK렌트카 홍천영업소,37.68851042,127.87888,강원도 
SK렌터카,36.588594,128.5485358,경상북도
SK네트웍스,34.800635,126.697777,전라남도 
SK렌트카,35.32160836,129.0306862,경상남도
SK렌터카 울산영업소,35.541081,129.350891,울산광역시
SK렌터카 강릉,37.7634358,128.9014975,강원도
SK렌트카 남원영업소,35.4173413,127.3826849,전라북도
SK렌터카,36.48592892,127.2588645,세종특별자치시
SK렌터카,37.64666282,127.2347945,경기도
SK렌터카,37.72533092,126.4834897,인천광역시
SK렌터카,33.50343756,126.5019336,제주특별자치도
SK알렌터카서비스,37.55953242,127.0744719,서울특별시 
SK렌트카,35.833657,128.734168,경상북도 
SK렌터카,37.74221387,127.0868823,경기도
SK네트웍스 SK렌터카 보성영업소,34.7737547,127.0940848,전라남도
SK렌터카,36.979494,127.914379,충청북도
SK렌터카,37.34978081,127.1693099,경기도
SK렌트카,37.8073785,127.093465,경기도
SK렌터카,34.83411665,126.3653449,전라남도
SK렌터카,38.06619862,128.174457,강원도
