업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
SK렌터카,영업소,강원특별자치도 양구군 양구읍 우정로119번길24,강원특별자치도 양구군 양구읍 정림리 3-2,38.10161831,127.987925,강원특별자치도 양구군 양구읍 양구읍 박수근로353번길,강원특별자치도 양구군 양구읍 정림리 205-1,20,28,27,1,0,0,57000,57000,88000,185000,128000,145000,0,9:00,18:00,9:00,18:00,9:00,18:00,연중무휴,www.skcarrental.com,이호권,033-482-4445,2024-03-05,4321000,강원도
SK렌터카,영업소,"대전광역시 서구 둔산중로 19, 샤크존 5층2호(탄방동)","대전광역시 서구 탄방동 590, 샤크존 5층2호",36.34821748,127.3861732,"대전광역시 서구 둔산중로 19, 5층",대전광역시 서구 탄방동 590 5층,24,0,0,0,0,0,,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,,,,042-489-7782,2021-07-05,6300000,대전광역시
SK렌트카 홍천영업소,영업소,강원도 홍천군 홍천읍 홍천로 302,,37.68851042,127.87888,강원도 홍천군 홍천읍 마기지로 187+강원도 홍천군 홍천읍 두루봉2길 7,강원도 홍천군 홍천읍 희망리 230+강원도 홍천군 홍천읍 결운리 290-40,,36,35,1,0,0,100000,147000,160000,243000,236000,,185000,8:30,19:00,8:30,19:00,8:30,19:00,연중무휴,www.skcarrental.com,함정균,033-433-4470,2023-06-26,4250000,강원도 
SK렌터카,영업소,"경상북도 안동시 풍산읍 풍산태사로 794, 2층",,36.588594,128.5485358,경상북도 안동시 경동로 246,,,45,45,0,0,0,,,,,,,,8:00,20:00,,,,,,,,054-841-7850,2024-02-01,5070000,경상북도
SK네트웍스,영업소,전라남도 영암군 영암읍 군청로 1-9,,34.800635,126.697777,,전라남도 영암군 삼호읍 삼포리 1894,,6835,6655,180,0,0,,,,,,,,9:00,18:00,,,,,,,최신원+박상규,1599-9111,2024-02-07,4940000,전라남도 
SK렌트카,영업소,경상남도 양산시 동면 양산대로 542-18,경상남도 양산시 동면 석산리 1038-3,35.32160836,129.0306862,경상남도 양산시 동면 양산대로 542-18,경상남도 양산시 동면 석산리 1038-3,,0,0,0,0,0,,,,,,,,9:00,18:00,0:00,0:00,0:00,0:00,,,현몽주,070-4352-2110,2023-12-18,5380000,경상남도
SK렌터카 울산영업소,영업소,울산광역시 남구 남중로74번길 27,,35.541081,129.350891,울산광역시 남구 남중로74번길 27,,,103,101,2,0,0,,,,,,,,9:00,18:00,,,,,,,,052-267-6100,2024-02-16,6310000,울산광역시
SK렌터카 강릉,영업소,강원도 강릉시 강릉대로 302 (옥천동),강원도 강릉시 옥천동 298-1,37.7634358,128.9014975,강원도 강릉시 교동 713-5,,,62,61,1,0,0,,,,,,,,9:00,20:00,,,,,,,,02-6474-5553,2022-12-09,4200000,강원도
SK렌트카 남원영업소,영업소,전북특별자치도 남원시 동림로 129,,35.4173413,127.3826849,전북특별자치도 남원시 북천리 486,,,1410,1356,31,23,0,,,,,,,,9:00,18:00,,,,,,,,02-6474-5553,2024-02-19,4701000,전라북도
SK렌터카,영업소,세종특별자치시 국세청로 4,세종특별자치시 나성동 767,36.48592892,127.2588645,세종특별자치시 조치원읍 세종로 2652,세종특별자치시 조치원읍 신안리 79-7,132,7,6,1,0,0,,,,,,,,9:00,18:00,,,,,,,,0507-1367-557,2024-04-30,5690000,세종특별자치시
